duration,artist_name,title,bars_confidence,danceability,energy,key_confidence,loudness,mode_confidence,song_hotttnesss
218.93179,Casual,"b""I Didnt Mean To""",83,48.135766898836266,75.74452196418817,0.736,-11.197,0.636,0.6021199899057548
148.03546,The Box Tops,Soul Deep,73,93.66448734511977,94.379567420511,0.169,-9.843,0.43,0.0
177.47546,Sonora Santanera,Amor De Cabaret,291,84.41700315862279,56.80406134697711,0.643,-9.689,0.565,0.0
233.40363,Adam Ant,Something Girls,115,4.854285735615605,86.76156056125642,0.751,-9.013,0.749,0.0
209.60608,Go,Face the Ashes,110,62.23601694732564,89.53497788564573,0.092,-4.501,0.371,0.6045007385888197
267.7024,Jeff And Sheri Easter,The Moon And I (Ordinary Day Album Version),210,32.84979672533148,83.65256140250241,0.635,-9.323,0.557,0.0
114.78159,Rated R,Keepin It Real (Skit),217,70.80550547285036,37.182585533617285,0.0,-17.302,0.0,0.0
189.57016,Tweeterfriendly Music,Drop of Rain,103,48.921248527058225,22.417658147507325,0.0,-11.642,0.16,0.0
269.81832,Planet P Project,Pink World,93,98.78665196119373,78.08818434302545,0.717,-13.496,0.652,0.26586104921065
266.39628,Clp,Insatiable (Instrumental Version),124,98.89397061850039,12.49235135088279,0.053,-6.697,0.473,0.0
218.77506,JennyAnyKind,Young Boy Blues,520,23.723494972129366,3.162800398672705,0.354,-10.021,0.485,0.0
245.21098,Wayne Watson,The Urgency (LP Version),117,91.47474819918693,30.606057168344336,0.07,-7.545,0.686,0.26586104921065
226.35057,Andy Andy,La Culpa,120,52.62722891626858,38.80234665999398,0.205,-6.632,0.305,0.0
191.84281,Bob Azzam,Auguri Cha Cha,434,82.89926418594052,16.669246032143214,0.0,-7.75,0.198,0.0
307.3824,Lionel Richie,Tonight Will Be Alright,212,12.27991320941798,14.630103171729536,0.524,-8.346,0.533,0.0
491.12771,Blue Rodeo,Floating,246,86.13733907698754,79.75035928629013,1.0,-8.576,0.829,0.4051157216913865
228.5971,Richard Souther,High Tide,95,24.73647053851963,63.271919900287024,0.041,-16.11,0.516,0.3347065490692206
599.24853,Faiz Ali Faiz,Sohna Nee Sohna Data,245,86.0784076306574,30.595191703374404,0.06,-8.032,0.346,0.0
290.29832,Tesla,Caught In A Dream,177,66.62675573268643,70.98431881990717,0.725,-5.271,0.756,0.6841361912294903
165.69424,lextrical,Synthetic Dream,92,14.124599817219984,62.97670549633902,0.011,-6.787,0.568,0.0
151.84934,Jimmy Wakely,Broken-Down Merry-Go-Round,68,15.658487169942104,29.767248447952056,0.799,-15.221,0.716,0.0
220.78649,Alice Stuart,Kassie Jones,393,49.66423425181884,0.36681915729789294,0.809,-8.514,0.521,0.0
269.58322,Elena,Setanta matins,120,29.60227695453189,65.99440594717571,0.596,-8.05,0.666,0.3135621142479342
207.77751,The Dillinger Escape Plan,Setting Fire to Sleeping Giants,142,21.798424946606644,55.97829246116637,0.381,-4.264,0.453,0.6665278462297023
124.86485,SUE THOMPSON,James (Hold The Ladder Steady),70,90.62751385534065,55.180149512284714,0.697,-12.332,0.541,0.4952936212921635
225.09669,Five Bolt Main,Made Like This (Live),617,45.39994456217509,74.82168742469565,0.53,-5.908,0.512,0.3759843015004421
338.31138,Clp,Superconfidential,175,91.07334011876844,63.36032909580103,0.687,-6.486,0.486,0.0
186.48771,Tim Wilson,I Think My Wife Is Running Around On Me (Taco Hell),278,50.04316322321552,75.55000147959431,0.762,-4.516,0.539,0.0
168.25424,Willie Bobo,Spanish Grease,88,44.96402750357075,73.50209927438101,0.812,-9.616,0.736,0.0
156.39465,Faye Adams,Crazy Mixed Up World,79,81.9171547387164,92.68029102859025,0.569,-18.051,0.495,0.0
342.56934,Terry Callier,Do You Finally Need A Friend,203,13.425107892973987,51.92268029731023,0.381,-11.939,0.538,0.4137398358601097
484.62322,John Wesley,The Emperor Falls,276,59.65843638411719,80.55529014560115,0.283,-15.335,0.363,0.3775316449767025
164.80608,The Shangri-Las,Twist and Shout,342,80.5951471645074,21.46977156901997,0.254,-10.922,0.042,0.4432913119053975
133.32853,Billie Jo Spears,It Makes No Difference Now,352,49.70778384034733,57.60358542884963,0.384,-9.983,0.402,0.0
173.66159,"b""Mike Jones (Featuring CJ_ Mello & Lil Bran)""",Laws Patrolling (Album Version),119,40.675788287510116,31.051805158004665,0.299,-7.762,0.464,0.0
313.12934,Sierra Maestra,\xc2\xbfD\xc3\xb3nde va Chichi?,332,95.23424765635717,16.30537890570013,0.724,-9.512,0.364,0.0
450.84689,Butthole Surfers,"Barking Dogs (From ""Piouhgd"")",242,97.82042230295646,77.46137821714578,0.726,-9.063,0.367,0.593943075901947
303.09832,Despina Vandi,OUTE ENA EFHARISTO,158,97.88304578421115,99.38241342858429,0.532,-8.879,0.516,0.0
128.83546,Javier Navarrete,Midnight Swim,62,60.71008616182002,62.972564135676535,0.0,-17.699,0.251,0.3943948561005826
456.30649,Jacob Young,In A Subtle Way,167,92.1919235481802,70.90198651596857,0.611,-19.478,0.546,0.0
198.73914,"b""Scarlets Remains""",Spin,87,60.06542302887553,81.51061876472188,0.673,-7.469,0.579,0.450992311636255
95.68608,The Suicide Machines,Burning In The Aftermath,41,23.126531848263955,73.0757279119161,0.421,-2.022,0.589,0.5287824809425877
271.49016,The Rolling Stones,Angie (1993 Digital Remaster),616,67.05044587008496,56.408802013851215,0.301,-10.358,0.392,0.8344926198909054
226.66404,Roberto Torres,Sabor Guajiro,108,82.96328123193052,73.32408508318179,0.863,-12.716,0.671,0.0
190.48444,Loudon Wainwright III,Human Cannonball,76,88.64320450864143,42.332469077832414,0.544,-15.663,0.596,0.5101193140330347
277.78567,R.L. Burnside,Glory Be,103,17.668094601366302,31.97913048793558,0.0,-6.944,0.0,0.482137585065015
